,City,Tenure Months,Internet Service,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Churn Reason,Senior Citizen_Yes,Gender_Male,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes
32,Lakewood,2,DSL,No,Month-to-month,No,Electronic check,44.35,81.25,1,76,2570,Don't know,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Los Alamitos,1,Fiber optic,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,76,3964,Don't know,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,San Pedro,8,DSL,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,66,2662,Don't know,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
35,Carson,1,DSL,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,73,2600,Poor expertise of online support,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Long Beach,7,Fiber optic,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,94,2786,Poor expertise of phone support,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
37,Altadena,20,Fiber optic,No,Month-to-month,No,Electronic check,82.4,1592.35,1,86,5719,Price too high,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
38,Monrovia,4,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,1,75,4287,Product dissatisfaction,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,Sierra Madre,58,DSL,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,100,5444,Service dissatisfaction,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
40,Tujunga,2,Fiber optic,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,83,4690,Lack of self-service on Website,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
41,Pasadena,53,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,80,4328,Network reliability,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
42,Pasadena,15,Fiber optic,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,99,5717,Limited range of services,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
43,Pasadena,7,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,81,4419,Lack of affordable download/upload speed,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
44,Glendale,1,DSL,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,95,4534,Long distance charges,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45,Glendale,8,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,86,2152,Extra data charges,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
46,Glendale,13,Fiber optic,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,73,5142,Price too high,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
47,Glendale,1,DSL,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,94,4851,Product dissatisfaction,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,Canoga Park,6,Fiber optic,Yes,Month-to-month,Yes,Electronic check,91.0,531,1,94,2283,Service dissatisfaction,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
49,Mission Hills,1,Fiber optic,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,98,3394,Lack of self-service on Website,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Santa Clarita,19,Fiber optic,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,71,3764,Network reliability,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1
51,Sun Valley,2,DSL,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,76,2667,Don't know,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,Stevenson Ranch,4,Fiber optic,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,67,2227,Don't know,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,Panorama City,4,DSL,No,Month-to-month,No,Mailed check,50.05,179.35,1,82,3394,Don't know,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
54,Van Nuys,1,DSL,No,Month-to-month,No,Mailed check,55.2,55.2,1,81,3638,Poor expertise of online support,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55,Burbank,1,Fiber optic,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,66,2484,Poor expertise of phone support,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
56,North Hollywood,2,DSL,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,81,2556,Price too high,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
57,North Hollywood,11,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,85,5980,Product dissatisfaction,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
58,Covina,15,Fiber optic,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,86,4616,Service dissatisfaction,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
59,Covina,1,DSL,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,77,5687,Lack of self-service on Website,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
60,El Monte,2,Fiber optic,No,Month-to-month,No,Electronic check,70.4,147.15,1,75,5687,Network reliability,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,El Monte,1,DSL,No,Month-to-month,No,Electronic check,40.2,40.2,1,65,5828,Limited range of services,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
62,La Puente,2,DSL,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,99,4884,Lack of affordable download/upload speed,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,La Puente,3,DSL,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,96,2314,Long distance charges,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
64,Rowland Heights,13,Fiber optic,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,84,2494,Extra data charges,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
65,Ontario,59,No,No internet service,Two year,No,Mailed check,19.35,1099.6,1,83,5084,Price too high,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
66,Ontario,16,Fiber optic,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,81,3810,Product dissatisfaction,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
67,Pomona,1,DSL,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,73,5087,Service dissatisfaction,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,Pomona,1,Fiber optic,No,Month-to-month,No,Mailed check,70.6,70.6,1,69,3338,Lack of self-service on Website,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,Rosemead,5,Fiber optic,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,80,3676,Network reliability,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
70,San Dimas,52,Fiber optic,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,65,4839,Don't know,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
71,West Covina,18,Fiber optic,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,68,4643,Don't know,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
72,Alhambra,1,Fiber optic,No,Month-to-month,No,Electronic check,70.0,70,1,97,4094,Don't know,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,Alpine,8,Fiber optic,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,80,4345,Poor expertise of online support,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
74,Bonita,10,DSL,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,83,4061,Poor expertise of phone support,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,Boulevard,24,Fiber optic,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,98,2018,Price too high,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
76,Guatay,1,Fiber optic,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,80,2565,Product dissatisfaction,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
77,Jacumba,4,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,85,3677,Service dissatisfaction,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
78,Mount Laguna,32,Fiber optic,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,69,4105,Lack of self-service on Website,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
79,Borrego Springs,5,Fiber optic,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,69,5715,Network reliability,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
80,Carlsbad,38,DSL,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,81,2071,Limited range of services,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
81,Del Mar,24,Fiber optic,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,73,2212,Lack of affordable download/upload speed,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
82,El Cajon,54,DSL,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,83,4149,Long distance charges,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1
83,Escondido,2,Fiber optic,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,73,2671,Extra data charges,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,Oceanside,7,Fiber optic,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,67,2473,Price too high,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
85,Pala,2,Fiber optic,No,Month-to-month,No,Mailed check,80.6,155.8,1,92,2683,Product dissatisfaction,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
86,Palomar Mountain,68,DSL,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,1,81,4903,Service dissatisfaction,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
87,Pauma Valley,43,Fiber optic,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,91,5250,Lack of self-service on Website,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
88,Ranchita,63,Fiber optic,Yes,Month-to-month,Yes,Electronic check,103.4,6603,1,98,4352,Network reliability,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
89,Valley Center,2,Fiber optic,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,76,4157,Don't know,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90,San Diego,4,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,1,73,4939,Don't know,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
91,San Diego,21,DSL,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,97,4778,Don't know,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
92,San Diego,10,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846,1,85,3598,Poor expertise of online support,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,San Diego,27,DSL,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,91,2927,Poor expertise of phone support,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
94,San Diego,5,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1,98,5383,Price too high,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
95,San Diego,2,Fiber optic,No,Month-to-month,Yes,Electronic check,85.65,181.5,1,73,3878,Product dissatisfaction,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
96,San Diego,25,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,66,3642,Service dissatisfaction,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
97,San Diego,1,DSL,No,Month-to-month,No,Mailed check,50.65,50.65,1,76,2431,Don't know,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
98,Indio,1,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,81,3424,Network reliability,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
99,Indian Wells,11,No,No internet service,Month-to-month,No,Mailed check,19.95,214.75,1,80,5888,Limited range of services,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
100,Palm Desert,55,Fiber optic,No,Month-to-month,Yes,Electronic check,85.45,4874.7,1,100,5502,Lack of affordable download/upload speed,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
101,Desert Hot Springs,34,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,1,94,5795,Long distance charges,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
102,Holtville,69,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,1,80,4020,Extra data charges,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
103,Niland,1,No,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,1,92,3351,Price too high,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
104,North Palm Springs,1,No,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,1,95,3448,Product dissatisfaction,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
105,Ocotillo,3,Fiber optic,No,Month-to-month,Yes,Electronic check,81.35,233.7,1,73,2818,Service dissatisfaction,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
106,Seeley,22,Fiber optic,Yes,Month-to-month,No,Electronic check,83.3,1845.9,1,88,3804,Lack of self-service on Website,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
107,Thermal,1,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,1,67,4902,Network reliability,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
108,Adelanto,61,No,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,1,82,4221,Don't know,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
109,Apple Valley,12,DSL,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,1,68,2887,Don't know,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,Crestline,60,Fiber optic,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,1,84,4105,Don't know,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
111,Daggett,1,Fiber optic,No,Month-to-month,No,Mailed check,69.55,69.55,1,73,2792,Competitor had better devices,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,Ludlow,28,Fiber optic,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,1,98,5201,Competitor had better devices,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,Lucerne Valley,4,Fiber optic,Yes,Month-to-month,No,Electronic check,101.15,385.9,1,84,4417,Competitor had better devices,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
114,Lytle Creek,7,Fiber optic,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,1,98,2031,Competitor had better devices,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
115,Phelan,13,DSL,Yes,Month-to-month,No,Electronic check,55.95,734.35,1,91,4498,Competitor had better devices,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,Redlands,1,DSL,Yes,Month-to-month,Yes,Electronic check,55.0,55,1,71,4877,Competitor had better devices,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,Rialto,1,Fiber optic,No,Month-to-month,Yes,Electronic check,74.7,74.7,1,80,5980,Competitor had better devices,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
118,Running Springs,24,Fiber optic,No,Month-to-month,Yes,Electronic check,80.25,1861.5,1,77,4418,Competitor had better devices,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
119,Tecopa,5,Fiber optic,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,1,66,4192,Competitor had better devices,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
120,Victorville,15,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,1,73,5671,Competitor had better devices,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,Wrightwood,48,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,2145,1,65,4926,Price too high,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
122,San Bernardino,8,Fiber optic,No,Month-to-month,Yes,Electronic check,83.55,680.05,1,65,2879,Product dissatisfaction,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
123,San Bernardino,1,Fiber optic,No,Month-to-month,Yes,Electronic check,74.35,74.35,1,93,2814,Service dissatisfaction,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
124,Riverside,2,Fiber optic,No,Month-to-month,Yes,Electronic check,74.4,139.4,1,77,4263,Lack of self-service on Website,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
125,Riverside,22,DSL,Yes,One year,Yes,Bank transfer (automatic),43.75,903.6,1,66,3099,Network reliability,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
126,Riverside,5,DSL,No,Month-to-month,No,Electronic check,28.45,131.05,1,89,4099,Limited range of services,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
127,March Air Reserve Base,12,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45,1,76,2538,Lack of affordable download/upload speed,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
128,Hemet,20,Fiber optic,Yes,Month-to-month,Yes,Electronic check,94.1,1782.4,1,87,2666,Long distance charges,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
129,Homeland,2,Fiber optic,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,1,72,3715,Don't know,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
130,Idyllwild,6,Fiber optic,No,Month-to-month,Yes,Electronic check,80.5,502.85,1,98,5032,Price too high,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
131,Moreno Valley,5,Fiber optic,No,Month-to-month,Yes,Electronic check,74.35,334.8,1,82,5273,Product dissatisfaction,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
132,Murrieta,40,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic),104.8,4131.95,1,88,3492,Service dissatisfaction,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1
133,Perris,27,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,1,99,4517,Lack of self-service on Website,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
134,Sun City,23,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,1,81,2115,Network reliability,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
135,Sun City,34,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.05,3480,1,72,2568,Don't know,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
136,Irvine,1,Fiber optic,Yes,Month-to-month,Yes,Electronic check,85.0,85,1,80,5679,Don't know,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
137,Lake Forest,10,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1,1,85,2966,Don't know,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
138,Huntington Beach,13,DSL,No,Month-to-month,Yes,Credit card (automatic),45.55,597,1,74,4856,Poor expertise of online support,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
139,Huntington Beach,39,Fiber optic,No,Month-to-month,Yes,Mailed check,86.3,3266,1,98,3364,Poor expertise of phone support,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
140,Newport Beach,32,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),80.35,2596.15,1,92,5974,Competitor had better devices,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
141,Santa Ana,35,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.25,3527.6,1,72,2744,Competitor offered higher download speeds,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
142,Santa Ana,56,Fiber optic,Yes,One year,No,Credit card (automatic),100.3,5614.45,1,67,5170,Competitor offered more data,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
