,Tenure Months,Monthly Charges,Total Charges,Churn Score,CLTV,Dependents_Yes,Multiple Lines_Yes,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Contract_One year,Paperless Billing_Yes,Internet Service_No,Streaming Movies_No internet service,Streaming Movies_Yes,Payment Method_Electronic check,Payment Method_Mailed check,predicciones,reales
95,2,85.65,181.5,73,3878,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
96,25,104.95,2566.5,66,3642,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
97,1,50.65,50.65,76,2431,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
98,1,90.85,90.85,81,3424,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
99,11,19.95,214.75,80,5888,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
100,55,85.45,4874.7,100,5502,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
101,34,73.95,2524.45,94,5795,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
102,69,99.45,7007.6,80,4020,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
103,1,19.9,19.9,92,3351,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1
104,1,19.6,19.6,95,3448,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1
105,3,81.35,233.7,73,2818,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
106,22,83.3,1845.9,88,3804,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
107,1,75.3,75.3,67,4902,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
108,61,19.4,1182.55,82,4221,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1
109,12,45.4,518.9,68,2887,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
110,60,105.9,6396.45,84,4105,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
111,1,69.55,69.55,73,2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
112,28,81.05,2227.1,98,5201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
113,4,101.15,385.9,84,4417,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1
114,7,99.8,673.25,98,2031,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
115,13,55.95,734.35,91,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
116,1,55.0,55.0,71,4877,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
117,1,74.7,74.7,80,5980,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
118,24,80.25,1861.5,77,4418,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
119,5,96.1,453.4,66,4192,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
120,15,69.0,994.8,73,5671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,48,45.3,2145.0,65,4926,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
122,8,83.55,680.05,65,2879,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
123,1,74.35,74.35,93,2814,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
124,2,74.4,139.4,77,4263,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
125,22,43.75,903.6,66,3099,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
126,5,28.45,131.05,89,4099,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
127,12,99.7,1238.45,76,2538,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
128,20,94.1,1782.4,87,2666,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1
129,2,94.2,167.5,72,3715,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
130,6,80.5,502.85,98,5032,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
131,5,74.35,334.8,82,5273,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
132,40,104.8,4131.95,88,3492,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
133,27,75.2,1929.35,99,4517,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
134,23,75.6,1758.6,81,2115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
135,34,100.05,3480.0,72,2568,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
136,1,85.0,85.0,80,5679,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
137,10,86.05,834.1,85,2966,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
138,13,45.55,597.0,74,4856,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
139,39,86.3,3266.0,98,3364,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
140,32,80.35,2596.15,92,5974,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
141,35,100.25,3527.6,72,2744,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
142,56,100.3,5614.45,67,5170,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
143,12,19.0,233.55,72,3535,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
144,1,75.3,75.3,87,3244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
145,4,89.2,346.2,74,5808,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
146,1,85.7,85.7,66,4880,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
147,12,61.65,713.75,67,5670,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
148,65,105.25,6786.4,91,4196,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
149,9,29.95,248.95,83,2573,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
150,9,65.0,663.05,76,3983,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
151,7,20.0,137.6,100,4479,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
152,49,90.05,4547.25,96,5059,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
153,43,110.75,4687.9,65,2728,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
154,65,105.5,6985.65,89,5720,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
155,56,104.55,5794.65,91,6268,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
156,10,85.25,855.3,75,3573,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
157,43,56.15,2499.3,65,2152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
158,1,89.55,89.55,99,4996,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
159,20,94.55,1899.65,84,5604,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
160,1,45.7,45.7,95,2295,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
161,2,89.5,161.5,80,2065,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
162,3,69.55,222.3,87,2876,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
163,1,74.6,74.6,94,3860,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
164,8,19.65,164.3,83,5432,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1
165,2,19.85,35.9,68,2362,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
166,4,24.25,96.05,93,2038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
167,2,69.65,145.15,80,2323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
168,4,45.65,191.05,78,2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
169,1,75.05,75.05,78,4838,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
170,52,49.15,2550.9,90,5597,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
171,2,34.7,62.25,65,3146,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
172,1,80.0,80.0,88,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
173,2,49.25,91.1,89,3475,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
174,3,75.1,270.7,69,4965,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
175,3,50.15,168.15,86,3273,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
176,25,79.85,2015.35,85,4535,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
177,1,19.55,19.55,66,3556,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
178,4,85.95,381.3,74,5640,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
179,3,45.35,141.5,67,2450,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
180,33,94.5,3105.55,96,4333,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
181,30,91.7,2758.15,97,2482,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
182,45,87.25,3941.7,73,5269,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
183,10,98.55,1008.55,80,3658,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
184,20,98.55,1842.8,92,5444,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
185,15,85.9,1269.55,96,3579,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
186,22,89.25,1907.85,82,3161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
187,3,70.3,208.85,66,3038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
188,15,93.35,1444.65,77,5264,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
189,1,19.9,19.9,100,4248,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
190,5,88.9,454.15,79,4356,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
191,33,95.8,3036.75,76,4161,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
192,2,82.0,184.65,97,3051,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
193,2,45.35,89.5,81,3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
194,1,52.2,52.2,71,4138,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
195,46,110.0,4874.8,81,2403,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
196,62,96.75,6125.4,92,5016,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
197,10,98.5,1058.25,74,5184,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
198,6,85.35,489.45,75,4694,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
199,40,101.3,4113.1,70,2576,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
200,1,69.55,69.55,76,3042,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
201,58,103.25,6017.65,74,6105,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
202,70,104.0,7250.15,80,4544,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
203,2,86.2,178.7,95,2969,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
204,21,111.2,2317.1,89,4123,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1
205,16,89.45,1430.25,73,3696,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
206,7,95.6,644.35,83,3265,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
207,60,90.95,5453.4,76,4111,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
208,50,108.55,5610.7,82,4274,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
209,4,78.85,292.8,72,5301,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
210,1,44.4,44.4,89,3522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
211,55,100.0,5509.3,83,5679,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
212,12,19.8,229.6,94,2653,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
213,1,89.9,89.9,80,5951,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
214,62,100.15,6413.65,91,5600,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1
215,1,50.8,50.8,85,3718,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
216,20,73.65,1463.5,95,5849,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
217,3,95.1,307.4,77,5861,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
218,22,94.65,2104.55,85,3665,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
219,4,80.6,319.15,86,3080,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
220,59,85.55,5084.65,80,6304,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
221,60,50.8,3027.4,67,4941,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
222,15,105.1,1582.75,84,2122,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
223,10,110.1,1043.3,76,5803,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
224,6,83.9,497.55,97,3962,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
225,63,100.55,6215.35,79,5413,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
226,50,103.85,5017.9,100,5812,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
227,1,24.6,24.6,76,5768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
228,12,98.9,1120.95,71,5559,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
229,9,98.3,923.5,81,2954,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
230,17,93.85,1625.65,93,4940,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
231,9,100.5,918.6,70,4038,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
232,10,72.85,688.65,99,3189,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
233,1,73.55,73.55,94,4369,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
234,3,79.4,205.05,91,3501,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
